		Eigen teksten van de heiligen											
	Basisboek en plaatselijke heiligen												
	maand	dag	code_eigen	naam	gebed	morg. ant.	avnd. ant						
	7	11	357	Europa: H. Benedictus									
	7	13	358	H. Henricus									
	7	14	359	H. Camillus de Lellis									
	7	15	360	H. Bonaventura									
	7	16	361	H. Maria v/d berg Karmel									
	7	20	552	H. Apollinaris									
	7	21	365	H. Laurentius van Brindisi									
	7	22	366	H. Maria Magdalena									
	7	23	367	H. Birgitta									
	7	23	540	Europa: H. Birgitta									
	7	24	553	H. Charbel Makhlūf									
	7	25	369	H. Jakobus									
	7	26	371	HH. Joachim en Anna									
	7	27	372	Nederland: Z. Titus Brandsma									
	7	29	374	H. Marta									
	7	30	375	H. Petrus Chrysologus									
	7	31	376	H. Ignatius van Loyola									
aug.	8	1	377	H. Alfonsus Maria de'Liguori									
	8	2	378	H. Eusebius van Vercelli									
	8	2	544	H. Petrus Julianus Eymard									
	8	4	379	H. Johannes Maria Vianney									
	8	5	380	Kerkwijding basiliek van Maria de Meerdere									
	8	6	381	Gedaanteverandering v/d Heer									
	8	7	382	HH. Sixtus II en gezellen									
	8	7	383	H. Cajetanus									
	8	8	385	H. Dominicus									
	8	9	386	H. Teresia Benedicta v/h Kruis									
	8	9	541	Europa: H. Teresia Benedicta v/h Kruis									
	8	10	388	H. Laurentius									
	8	11	390	H. Clara									
	8	12	523	H. Johanna Francisca de Chantal									
	8	13	392	HH. Pontianus en Hippolytus									
	8	14	393	H. Maximiliaan Maria Kolbe									
	8	15	394	Maria Tenhemelopneming									
	8	16	396	H. Stefanus van Hongarije									
	8	17	398	Rotterdam: H. Jeroen									
	8	19	399	H. Johannes Eudes									
	8	20	401	H. Bernardus									
	8	21	402	H. Pius X									
	8	22	403	H. Maria, koningin									
	8	22	404	Utrecht: Verjaardag wijding kathedraal									
	8	23	405	H. Rosa van Lima									
	8	24	406	H. Bartolomeüs									
	8	25	407	H. Lodewijk									
	8	25	408	H. Jozef de Calasanz									
	8	25	409	's-Hertogenbosch: Verjaardag wijding kathedraal									
	8	27	410	H. Monica									
	8	28	411	H. Augustinus									
	8	29	412	Marteldood H. Johannes de Doper									
	8	30	568	's-Hertogenbosch: Z. Eustachius van Lieshout									
sept.	9	3	415	H. Gregorius de Grote									
	9	3	416	Roermond: Verjaardag wijding kathedraal									
	9	4	415	Roermond: H. Gregorius de Grote									
	9	8	420	Maria Geboorte									
	9	9	545	H. Petrus Claver									
	9	12	554	De heilige naam van Maria									
	9	13	424	H. Johannes Chrysostomus									
	9	14	425	Kruisverheffing									
	9	15	426	H. Maria, Moeder van Smarten									
	9	16	427	HH. Cornelius en Cyprianus									
	9	17	428	H. Robertus Bellarmino									
	9	17	429	Breda, 's-Hertogenbosch en Roermond: H. Lambertus									
	9	19	431	H. Januarius									
	9	20	433	HH. Andreas Kim Taegŏn, Paulus Chŏng en gezellen									
	9	21	434	H. Matteüs									
	9	23	555	H. Pius van Pietrelcina									
	9	26	437	HH. Cosmas en Damianus									
	9	27	438	H. Vincentius de Paul									
	9	28	439	H. Wenceslaus									
	9	28	440	HH. Laurentius Ruiz en gezellen									
	9	29	441	HH. Michaël, Gabriël en Rafaël									
	9	30	442	H. Hieronymus									
okt.	10	1	443	H. Teresia v/h Kind Jezus									
	10	2	447	HH. Engelbewaarders									
	10	3	445	Haarlem: H. Bavo									
	10	4	449	H. Franciscus van Assisi									
	10	5	579	H. Faustina Kowalska									
	10	6	451	H. Bruno									
	10	7	453	H. Maria v/d Rozenkrans									
	10	9	454	HH. Dionysius en gezellen									
	10	9	455	H. Johannes Leonardi									
	10	10	563	Roermond: H. Maria, Sterre der Zee									
	10	10	564	Maastricht: H. Maria, Sterre der Zee									
	10	11	574	H. Johannes XXIII									
	10	14	458	H. Callistus I									
	10	15	460	H. Teresia van Jezus									
	10	16	461	H. Hedwig									
	10	16	462	H. Margareta-Maria Alacoque									
	10	17	463	H. Ignatius van Antiochië									
	10	18	464	H. Lucas									
	10	18	561	Haastrecht: Maria ter Weghe									
	10	19	465	HH. Johannes de Brébeuf, Isaac Jogues en gezellen									
	10	19	466	H. Paulus v/h Kruis									
	10	20	560	Rotterdam: Maria ter Weghe									
	10	20	464	Haastrecht: H. Lucas									
	10	22	569	H. Johannes Paulus II									
	10	23	468	H. Johannes van Capestrano									
	10	24	472	H. Antonius Maria Claret									
	10	25	473	Nederland: Verjaardag kerken met onbekende wijdingsdatum									
	10	28	474	HH. Simon en Judas									
	10	30	565	Roermond: Z. Maria Teresa van de H. Jozef									
nov.	11	1	476	Allerheiligen									
	11	2	477	Allerzielen									
	11	3	478	H. Martinus de Porres									
	11	3	479	Breda, 's-Hertogenbosch en Roermond: H. Hubertus									
	11	4	481	H. Carolus Borromeo									
	11	6	483	Nederland: HH. geloofsverkondigers in onze streken									
	11	7	484	Nederland: H. Willibrord									
	11	8	487	Utrecht: HH. Bisschoppen van Utrecht									
	11	8	488	Groningen: H. Willehad									
	11	9	489	Kerkwijding basiliek van Lateranen									
	11	10	490	H. Leo de Grote									
	11	11	491	H. Martinus van Tours									
	11	11	492	Ned. Strijdkrachten: H. Martinus van Tours									
	11	12	493	H. Josafat									
	11	15	496	H. Albertus de Grote									
	11	16	497	H. Margarita van Schotland									
	11	16	498	H. Gertrudis									
	11	17	499	H. Elisabeth van Hongarije									
	11	18	500	Kerkwijding basilieken v/d HH. Petrus en Paulus									
	11	21	501	Opdracht v/d H. Maria									
